129.25	252.57	94.58
130.71	252.54	95.04
132.13	252.38	97.12
133.56	252.27	98.55
135.02	252.23	99.03
136.48	252.23	98.96
137.93	252.19	99.51
65.73	251.88	84.28
67.22	251.84	84.82
68.73	251.76	85.81
70.23	251.72	86.49
71.73	251.63	87.59
73.23	251.56	88.56
74.72	251.5	89.42
76.22	251.45	90.16
77.71	251.39	90.97
79.19	251.33	91.75
80.68	251.27	92.54
82.16	251.23	93.13
83.64	251.19	93.61
85.12	251.17	93.92
86.59	251.14	94.33
88.07	251.1	94.86
89.54	251.08	95.19
91.02	251.07	95.37
92.49	251.04	95.72
93.96	251.03	95.79
95.43	251	96.25
96.9	251	96.33
98.37	250.98	96.48
99.84	250.97	96.66
101.31	250.95	97
102.78	250.92	97.31
104.24	250.91	97.52
105.71	250.9	97.63
107.18	250.91	97.41
108.64	250.88	97.8
110.11	250.87	98.01
111.58	250.87	98.03
113.04	250.87	97.97
114.51	250.89	97.65
115.98	250.89	97.71
117.45	250.9	97.61
118.92	250.92	97.31
120.39	250.95	96.92
121.86	250.96	96.69
123.34	250.99	96.25
124.82	251.03	95.78
126.29	251.05	95.44
127.77	251.07	95.14
129.24	251.07	95.12
130.72	251.11	94.65
132.18	251.07	95.08
133.61	250.96	96.59
135.05	250.88	97.7
136.54	250.95	96.7
138.01	250.94	96.83
139.42	250.8	98.69
65.7	250.49	83.18
67.21	250.41	84.27
68.73	250.29	85.9
70.24	250.2	87.09
71.75	250.11	88.33
73.25	250.04	89.38
74.74	249.97	90.29
76.23	249.92	90.92
77.72	249.87	91.62
79.21	249.82	92.44
80.69	249.75	93.33
82.18	249.7	94.03
83.65	249.68	94.33
85.13	249.65	94.67
86.6	249.63	95.02
88.08	249.59	95.53
89.55	249.57	95.87
91.02	249.55	96.07
92.49	249.53	96.42
93.96	249.51	96.72
95.43	249.49	96.94
96.9	249.47	97.17
98.37	249.45	97.49
99.84	249.42	97.96
101.31	249.41	98.08
102.78	249.4	98.15
104.24	249.39	98.31
105.71	249.38	98.47
107.17	249.37	98.64
108.64	249.35	98.91
110.11	249.35	98.88
111.57	249.35	98.83
113.04	249.35	98.81
114.5	249.35	98.8
115.98	249.39	98.33
117.44	249.39	98.26
118.91	249.4	98.18
120.38	249.42	97.85
121.86	249.46	97.26
123.33	249.5	96.74
124.8	249.52	96.49
126.28	249.54	96.23
127.76	249.58	95.65
129.23	249.6	95.36
130.7	249.6	95.32
132.18	249.62	95.07
133.64	249.6	95.25
135.09	249.54	96.1
136.54	249.49	96.77
138.02	249.5	96.57
139.51	249.58	95.5
140.92	249.41	97.77
64.23	248.96	83.84
65.73	248.91	84.57
67.25	248.8	86.1
68.77	248.71	87.43
70.27	248.64	88.36
71.77	248.58	89.29
73.26	248.51	90.24
74.76	248.45	91.02
76.24	248.41	91.58
77.73	248.35	92.45
79.22	248.29	93.24
80.7	248.24	93.94
82.18	248.22	94.3
83.66	248.18	94.84
85.14	248.14	95.47
